[0] #InstanceTicker (Type-1) Ver.201903050014.tsv - (c)weepjp (c)kyori19 MIT License.	[1] ScreenName	[2] DomainName	[3] FontColor	[4] BackGroundColor	[5] ImgPath	[6] ImgWidth	[7] ImgLicense	[8] WikiURL	[9] UsersVoiceURL	[10] ImgLicenseURL	[11] AdminsVoiceURL	[12] Missingno.12	[13] Missingno.13
1	mstdn.poyo.me	mstdn.poyo.me	#fff	#26a	https://wee.jp/f/mstdn.poyo.me	18	(favicon.ico)	https://ja.mstdn.wiki/Poyo.me					
1	ro-mastodon.puyo.jp	ro-mastodon.puyo.jp	#fff	#26a	https://wee.jp/f/ro-mastodon.puyo.jp	18	(favicon.ico)	https://ja.mstdn.wiki/RO%E4%B8%BC					
1	toot.yukimochi.jp	toot.yukimochi.jp	#fff	#26a	https://wee.jp/f/toot.yukimochi.jp	18	(favicon.ico)	https://ja.mstdn.wiki/%E9%9B%AA%E9%A4%85					
1	mustardon.tokyo	mustardon.tokyo	#fff	#26a	https://wee.jp/f/mustardon.tokyo	18	(favicon.ico)						
1	setl.ist	setl.ist	#fff	#26a	https://wee.jp/f/setl.ist	18	(favicon.ico)						
1	mst.m544.net	mst.m544.net	#fff	#26a	https://wee.jp/f/mst.m544.net	18	(favicon.ico)	https://ja.mstdn.wiki/%E3%82%81%E3%81%84%E3%82%81%E3%81%84					
1	prinsesse.co	prinsesse.co	#fff	#26a	https://wee.jp/f/prinsesse.co	18	(favicon.ico)						
1	orikilli.yaruki0.net	orikilli.yaruki0.net	#fff	#26a	https://wee.jp/f/orikilli.yaruki0.net	18	(favicon.ico)						
1	mstdn.rinsuki.net	mstdn.rinsuki.net	#fff	#26a	https://wee.jp/f/mstdn.rinsuki.net	18	(favicon.ico)						
1	rainyman.jp	rainyman.jp	#fff	#26a	https://wee.jp/f/rainyman.jp	18	(favicon.ico)						
1	mstdn.kanagu.info	mstdn.kanagu.info	#fff	#26a	https://wee.jp/f/mstdn.kanagu.info	18	(favicon.ico)						
1	mastodon.cardina1.red	mastodon.cardina1.red	#fff	#26a	https://wee.jp/f/mastodon.cardina1.red	18	(favicon.ico)						
1	mastodon.zunda.ninja	mastodon.zunda.ninja	#fff	#26a	https://wee.jp/f/mastodon.zunda.ninja	18	(favicon.ico)						
1	isidai.com	isidai.com	#fff	#26a	https://wee.jp/f/isidai.com	18	(favicon.ico)						
1	tebukuro.pw	tebukuro.pw	#fff	#26a	https://wee.jp/f/tebukuro.pw	18	(favicon.ico)						
1	tebukuro.m.to	tebukuro.m.to	#fff	#26a	https://wee.jp/f/tebukuro.m.to	18	(favicon.ico)						
1	たいやきん家	mstdn.taiyaki.online	#fff	#c4972f	https://wee.jp/o/taiyaki.png	17	管理者提出			https://archive.fo/APzOV	https://archive.fo/oKQyA		
1	cironnup.com	cironnup.com	#fff	#26a	https://wee.jp/f/cironnup.com	18	(favicon.ico)						
1	mastodon.matcha-soft.com	mastodon.matcha-soft.com	#fff	#26a	https://wee.jp/f/mastodon.matcha-soft.com	18	(favicon.ico)						
1	md.ggtea.org	md.ggtea.org	#fff	#26a	https://wee.jp/f/md.ggtea.org	18	(favicon.ico)						
1	altdn.me	altdn.me	#fff	#26a	https://wee.jp/f/altdn.me	18	(favicon.ico)						
1	matitodon.com	matitodon.com	#fff	#26a	https://wee.jp/f/matitodon.com	18	(favicon.ico)	https://ja.mstdn.wiki/%E3%81%BE%E3%81%A1%E3%83%88%E3%83%89%E3%83%B3					
1	handon.club	handon.club	#fff	#26a	https://wee.jp/f/handon.club	18	(favicon.ico)						
1	gamelinks007.net	gamelinks007.net	#fff	#26a	https://wee.jp/f/gamelinks007.net	18	(favicon.ico)	https://ja.mstdn.wiki/Creatodon					
1	mstdn.fujii-yuji.net	mstdn.fujii-yuji.net	#fff	#26a	https://wee.jp/f/mstdn.fujii-yuji.net	18	(favicon.ico)						
1	Telmina’s TL	tl.telmina.com	#fff	#008060	https://wee.jp/f/tl.telmina.com	18	(favicon.ico)		https://tl.telmina.com/@Telmina/101233441633013227		https://archive.fo/IyPfu		
1	LIBERA S2	s2.libera.blue	#fff	#004ea2	https://wee.jp/f/s2.libera.blue	18	(favicon.ico)		https://s2.libera.blue/@Telmina/101233453464838392		https://archive.fo/E7683		
1	imastodon.net	imastodon.net	#fff	#26a	https://wee.jp/f/imastodon.net	18	(favicon.ico)	https://ja.mstdn.wiki/Imastodon.net					
