[0] #InstanceTicker (Type-0) Ver.201912081130.tsv - Fedplaset is (c)weepjp  MIT License.	ScreenName	ServerName	FontColor	BGColor	ImgPath	ImgWidth	ImgLicense	WikiURL	ID	ImgLicenseURL	AdminsVoiceURL	no12	no13
1	hexadon.net	hexadon.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		125				
1	hiruandon.life	hiruandon.life	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		126				
1	mdn.hinaloe.net	mdn.hinaloe.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		128				
1	hikoukidon.jp	hikoukidon.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		807				
1	ひろしま丼	hiroshimastdn.club	#fff	#383	https://wee.jp/i/1.png	18	代替icon		129				
1	ひゆきねっと	mstdn.hiyuki2578.net	#e6e6fa	#ff69b4	https://wee.jp/i/1.png	18	代替icon		130				
1	北海丼 (北海道)	mstdn.hokkaido.jp	#fff	#383	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Mstdn.hokkaido.jp	131				
1	hokutodon.co	hokutodon.co	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		132				
1	homoo.social	homoo.social	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		133				
1	カオスフィア	chaosphere.hostdon.jp	#fff	#00f	https://wee.jp/i/1.png	18	代替icon		134		https://archive.fo/8awAJ		
1	mstdn.hostdon.jp	mstdn.hostdon.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Hostdon	135				
1	mstdn.ht164.jp	mstdn.ht164.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		136				
1	兵庫丼	mstdn.hyogo.jp	#fff	#383	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Mstdn.hyogo.jp	137				
1	ichiji.social	ichiji.social	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Ichiji.social	138				
1	iguanodon.net	iguanodon.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		139				
1	mstdn.ijs01140.com	mstdn.ijs01140.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		140				
1	social.ikata.co	social.ikata.co	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		141				
1	Ikebuku.ro	mstdn.ikebuku.ro	#fff	#383	https://wee.jp/i/1.png	18	代替icon		142				
1	i--i.net	i--i.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		143				
1	hktdn.iskr.jp	hktdn.iskr.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		864				
1	illuster.org	illuster.org	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		144				
1	imastodon.net	imastodon.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Imastodon.net	145				
1	gadget.inpocket.net	gadget.inpocket.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		148				
1	don.inux39.me	don.inux39.me	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		149				
1	isidai.com	isidai.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		150				
1	イワテドン (岩手)	iwatedon.net	#fff	#383	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Iwatedon.net	151				
1	grain.izayoiwind.net	grain.izayoiwind.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		152				
1	mstdn.jnsk.info	mstdn.jnsk.info	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		153				
1	mastodon.juggler.jp	mastodon.juggler.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Mastodon.juggler.jp	154				
1	junkhub.org	junkhub.org	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		155				
1	justodon.net	justodon.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		156				
1	don.kaias1jp.site	don.kaias1jp.site	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		157				
1	mstdn.kanagu.info	mstdn.kanagu.info	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		158				
1	kancolle.social	kancolle.social	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		159				
1	kanina.be	kanina.be	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		160				
1	kawaiuniv.work	kawaiuniv.work	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		838				
1	chibi.kemo.no	chibi.kemo.no	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		161				
1	mofu.kemo.no	mofu.kemo.no	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		162				
1	kemoner-don.tokyo	kemoner-don.tokyo	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		163				
1	ますとどんちほー	mstdn.kemono-friends.info	#fff	#383	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/%E3%81%BE%E3%81%99%E3%81%A8%E3%81%A9%E3%82%93%E3%81%A1%E3%81%BB%E3%83%BC	164				
1	kemonodon.club	kemonodon.club	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Kemonodon.club	165				
1	mstdn.kessai-otaku.club	mstdn.kessai-otaku.club	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		167				
